ID,Blight,Common_Rust,Gray_Leaf_Spot,Healthy
image_000001,0,0,0,0
image_000002,0,0,0,0
image_000003,0,0,0,0
image_000004,0,0,0,0
image_000005,0,0,0,0
image_000006,0,0,0,0
image_000007,0,0,0,0
image_000008,0,0,0,0
image_000009,0,0,0,0
image_000010,0,0,0,0
image_000011,0,0,0,0
image_000012,0,0,0,0
image_000013,0,0,0,0
image_000014,0,0,0,0
image_000015,0,0,0,0
image_000016,0,0,0,0
image_000017,0,0,0,0
image_000018,0,0,0,0
image_000019,0,0,0,0
image_000020,0,0,0,0
image_000021,0,0,0,0
image_000022,0,0,0,0
image_000023,0,0,0,0
image_000024,0,0,0,0
image_000025,0,0,0,0
image_000026,0,0,0,0
image_000027,0,0,0,0
image_000028,0,0,0,0
image_000029,0,0,0,0
image_000030,0,0,0,0
image_000031,0,0,0,0
image_000032,0,0,0,0
image_000033,0,0,0,0
image_000034,0,0,0,0
image_000035,0,0,0,0
image_000036,0,0,0,0
image_000037,0,0,0,0
image_000038,0,0,0,0
image_000039,0,0,0,0
image_000040,0,0,0,0
image_000041,0,0,0,0
image_000042,0,0,0,0
image_000043,0,0,0,0
image_000044,0,0,0,0
image_000045,0,0,0,0
image_000046,0,0,0,0
image_000047,0,0,0,0
image_000048,0,0,0,0
image_000049,0,0,0,0
image_000050,0,0,0,0
image_000051,0,0,0,0
image_000052,0,0,0,0
image_000053,0,0,0,0
image_000054,0,0,0,0
image_000055,0,0,0,0
image_000056,0,0,0,0
image_000057,0,0,0,0
image_000058,0,0,0,0
image_000059,0,0,0,0
image_000060,0,0,0,0
image_000061,0,0,0,0
image_000062,0,0,0,0
image_000063,0,0,0,0
image_000064,0,0,0,0
image_000065,0,0,0,0
image_000066,0,0,0,0
image_000067,0,0,0,0
image_000068,0,0,0,0
image_000069,0,0,0,0
image_000070,0,0,0,0
image_000071,0,0,0,0
image_000072,0,0,0,0
image_000073,0,0,0,0
image_000074,0,0,0,0
image_000075,0,0,0,0
image_000076,0,0,0,0
image_000077,0,0,0,0
image_000078,0,0,0,0
image_000079,0,0,0,0
image_000080,0,0,0,0
image_000081,0,0,0,0
image_000082,0,0,0,0
image_000083,0,0,0,0
image_000084,0,0,0,0
image_000085,0,0,0,0
image_000086,0,0,0,0
image_000087,0,0,0,0
image_000088,0,0,0,0
image_000089,0,0,0,0
image_000090,0,0,0,0
image_000091,0,0,0,0
image_000092,0,0,0,0
image_000093,0,0,0,0
image_000094,0,0,0,0
image_000095,0,0,0,0
image_000096,0,0,0,0
image_000097,0,0,0,0
image_000098,0,0,0,0
image_000099,0,0,0,0
image_000100,0,0,0,0
image_000101,0,0,0,0
image_000102,0,0,0,0
image_000103,0,0,0,0
image_000104,0,0,0,0
image_000105,0,0,0,0
image_000106,0,0,0,0
image_000107,0,0,0,0
image_000108,0,0,0,0
image_000109,0,0,0,0
image_000110,0,0,0,0
image_000111,0,0,0,0
image_000112,0,0,0,0
image_000113,0,0,0,0
image_000114,0,0,0,0
image_000115,0,0,0,0
image_000116,0,0,0,0
image_000117,0,0,0,0
image_000118,0,0,0,0
image_000119,0,0,0,0
image_000120,0,0,0,0
image_000121,0,0,0,0
image_000122,0,0,0,0
image_000123,0,0,0,0
image_000124,0,0,0,0
image_000125,0,0,0,0
image_000126,0,0,0,0
image_000127,0,0,0,0
image_000128,0,0,0,0
image_000129,0,0,0,0
image_000130,0,0,0,0
image_000131,0,0,0,0
image_000132,0,0,0,0
image_000133,0,0,0,0
image_000134,0,0,0,0
image_000135,0,0,0,0
image_000136,0,0,0,0
image_000137,0,0,0,0
image_000138,0,0,0,0
image_000139,0,0,0,0
image_000140,0,0,0,0
image_000141,0,0,0,0
image_000142,0,0,0,0
image_000143,0,0,0,0
image_000144,0,0,0,0
image_000145,0,0,0,0
image_000146,0,0,0,0
image_000147,0,0,0,0
image_000148,0,0,0,0
image_000149,0,0,0,0
image_000150,0,0,0,0
image_000151,0,0,0,0
image_000152,0,0,0,0
image_000153,0,0,0,0
image_000154,0,0,0,0
image_000155,0,0,0,0
image_000156,0,0,0,0
image_000157,0,0,0,0
image_000158,0,0,0,0
image_000159,0,0,0,0
image_000160,0,0,0,0
image_000161,0,0,0,0
image_000162,0,0,0,0
image_000163,0,0,0,0
image_000164,0,0,0,0
image_000165,0,0,0,0
image_000166,0,0,0,0
image_000167,0,0,0,0
image_000168,0,0,0,0
image_000169,0,0,0,0
image_000170,0,0,0,0
image_000171,0,0,0,0
image_000172,0,0,0,0
image_000173,0,0,0,0
image_000174,0,0,0,0
image_000175,0,0,0,0
image_000176,0,0,0,0
image_000177,0,0,0,0
image_000178,0,0,0,0
image_000179,0,0,0,0
